title,price
TELEVISOR RCA 55 UDG55NR672LN/1,49797.0
"LAPTOP TK-E140J/14""/J4115/1",45653.0
BARRA DE SONIDO TCL TS9030/3,38838.0
VOLANTE LOGITECH G29 DRIVING FORCE PLAYS/1,35267.0
"LAPTOP TK-E140/14""/N3350/1",32037.0
